
ALGORITHM FINISHED?: False
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('110010', '50.0', 'GENERATION: 7')
('100101', '50.0', 'GENERATION: 7')
('001101', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('110010', '50.0', 'GENERATION: 7')
('100101', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('110010', '50.0', 'GENERATION: 7')
('100101', '50.0', 'GENERATION: 7')
('001101', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('110010', '50.0', 'GENERATION: 7')
('100101', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('110010', '50.0', 'GENERATION: 7')
('100101', '50.0', 'GENERATION: 7')
('001101', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('110010', '50.0', 'GENERATION: 7')
('100101', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('100110', '50.0', 'GENERATION: 7')
('110010', '50.0', 'GENERATION: 7')
('100101', '50.0', 'GENERATION: 7')
('001101', '50.0', 'GENERATION: 7')
('010110', '50.0', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001001', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001001', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001001', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001001', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001001', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001001', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001001', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001001', '33.3333333333', 'GENERATION: 7')
('100100', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001001', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001001', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001001', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001001', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001001', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
('001010', '33.3333333333', 'GENERATION: 7')
